product,additive,internal_standard,corr_factor,product_scaled,additive_scaled,Sample Name,Data File,Location,Prod-to-IS-Ratio,UV210_Toluidine Rt(min),UV210_Toluidine AreaAbs,UV210_Additive_28 Rt(min),UV210_Additive_28 AreaAbs,UV210_P2Et Rt(min),UV210_P2Et AreaAbs,UV210_CF3_product Rt(min),UV210_CF3_product AreaAbs,UV210_Internal_standard Rt(min),UV210_Internal_standard AreaAbs,UV210_OMe_product Rt(min),UV210_OMe_product AreaAbs,UV210_OMe-I Rt(min),UV210_OMe-I AreaAbs,UV210_Et_product Rt(min),UV210_Et_product AreaAbs,UV210_2pyr_product Rt(min),UV210_2pyr_product AreaAbs,UV210_3pyr_product Rt(min),UV210_3pyr_product AreaAbs,UV210_BTMG Rt(min),UV210_BTMG AreaAbs,UV210_Additive_22 Rt(min),UV210_Additive_22 AreaAbs,UV210_Additive_24 Rt(min),UV210_Additive_24 AreaAbs,UV210_Additive_26 Rt(min),UV210_Additive_26 AreaAbs,UV210_2pyr-Cl Rt(min),UV210_2pyr-Cl AreaAbs,UV210_3pyr-Cl Rt(min),UV210_3pyr-Cl AreaAbs,UV210_CF3-I Rt(min),UV210_CF3-I AreaAbs,UV210_OMe-Cl Rt(min),UV210_OMe-Cl AreaAbs,UV210_OMe-Br Rt(min),UV210_OMe-Br AreaAbs,UV210_Et-I Rt(min),UV210_Et-I AreaAbs,UV210_2pyr-Br Rt(min),UV210_2pyr-Br AreaAbs,UV210_3pyr-Br Rt(min),UV210_3pyr-Br AreaAbs,UV210_CF3-Cl Rt(min),UV210_CF3-Cl AreaAbs,UV210_Et-Br Rt(min),UV210_Et-Br AreaAbs,UV210_Et-Cl Rt(min),UV210_Et-Cl AreaAbs,UV210_3pyr-I Rt(min),UV210_3pyr-I AreaAbs,UV210_2pyr-I Rt(min),UV210_2pyr-I AreaAbs,UV210_CF3-Br Rt(min),UV210_CF3-Br AreaAbs
59610.43148,6645.18392,19329.45720,1.042356705,24.10905766,2.578390077,2017-Feb17-1536-CN-Plate1-1.Raw,2017-feb17-1536-cn-plate1-1.raw,A:1,0.0000,0.464,20884.33253,0.640,6645.18392,0.995,12846.58186,1.397,59610.43148,1.778,19329.45720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89221.61249,21025.40482,21215.08937,1.042356705,32.87780619,7.432942532,2017-Feb17-1536-CN-Plate1-2.Raw,2017-feb17-1536-cn-plate1-2.raw,A:2,0.0000,0.465,16641.80566,0.639,21025.40482,0.995,13758.11738,1.396,89221.61249,1.776,21215.08937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119132.4153,31702.41284,21459.69547,1.042356705,43.39942952,11.07975193,2017-Feb17-1536-CN-Plate1-3.Raw,2017-feb17-1536-cn-plate1-3.raw,A:3,0.0000,0.465,4829.59394,0.639,31702.41284,0.995,14815.20275,1.396,119132.4153,1.776,21459.69547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518.77794,0,20500.15635,0.948682226,1.221284135,0,2017-Feb17-1536-CN-Plate1-4.Raw,2017-feb17-1536-cn-plate1-4.raw,A:4,0.0000,0.463,35630.99412,0,0,0.995,14490.08289,0,0,1.775,20500.15635,1.223,3518.77794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74649.59395,7491.07434,21095.44304,0.948682226,25.1779767,2.663279403,2017-Feb17-1536-CN-Plate1-5.Raw,2017-feb17-1536-cn-plate1-5.raw,A:5,0.0000,0.463,17849.19586,0.638,7491.07434,0.995,13871.38508,0,0,1.776,21095.44304,1.223,74649.59395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94206.30659,10288.90293,20705.47814,0.948682226,32.37253744,3.726877176,2017-Feb17-1536-CN-Plate1-6.Raw,2017-feb17-1536-cn-plate1-6.raw,A:6,0.0000,0.462,14202.93330,0.638,10288.90293,0.995,14256.99196,0,0,1.776,20705.47814,1.223,94206.30659,1.173,20569.37128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16250.85689,0,21237.81800,1.337543187,7.676008537,0,2017-Feb17-1536-CN-Plate1-7.Raw,2017-feb17-1536-cn-plate1-7.raw,A:7,0.0000,0.463,32194.61854,0,0,0.996,13886.07778,0,0,1.776,21237.81800,0,0,0,0,1.421,16250.85689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128444.82260,27915.77515,21326.72521,1.337543187,60.41732712,9.817180875,2017-Feb17-1536-CN-Plate1-8.Raw,2017-feb17-1536-cn-plate1-8.raw,A:8,0.0000,0.463,7870.50292,0.638,27915.77515,0.995,14841.67132,0,0,1.776,21326.72521,0,0,0,0,1.421,128444.82260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131951.87,31039.86152,20520.12461,1.337543187,64.50667156,11.34491002,2017-Feb17-1536-CN-Plate1-9.Raw,2017-feb17-1536-cn-plate1-9.raw,A:9,0.0000,0.464,6806.34051,0.639,31039.86152,0.998,14150.31319,0,0,1.777,20520.12461,0,0,0,0,1.422,131951.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36915.03133,7204.22094,21537.86760,2.843725517,36.55522639,2.50868189,2017-Feb17-1536-CN-Plate1-10.Raw,2017-feb17-1536-cn-plate1-10.raw,A:10,0.0000,0.463,17630.62952,0.638,7204.22094,0.997,13722.53227,0,0,1.776,21537.86760,0,0,0,0,0,0,0.750,36915.03133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
